a	ˈ aː
jónu	j ˈ ouː n ʏ
jónína	j ˈ ouː n i n a
jónínu	j ˈ ouː n i n ʏ
jórdaníu	j ˈ ou r t a n i ʏ
jórunn	j ˈ ouː r ʏ n
jósef	j ˈ ouː s ɛ f
jósefskirkja	j ˈouː s ɛ f s cʰ ˌɪ r̥ c a
jósefsson	j ˈ ouː s ɛ f s s ˌ ɔ n
jósefsspítala	j ˈ ouː s ɛ f s s p ˌ i t a l a
jósefsspítali	j ˈ ouː s ɛ f s s p ˌ i t a l ɪ
jósep	j ˈ ouː s ɛ p
jósepsson	j ˈ ouː s ɛ p s s ˌ ɔ n
jótlandi	j ˈ ou t l a n t ɪ
jöfn	j ˈ œ p n̥
jöfnum	j ˈ œ p n ʏ m
jöfnun	j ˈ œ p n ʏ n
jöfnunar	j ˈ œ p n ʏ n a r
jöfnunarmark	j ˈ œ p n ʏ n a r m ˌ a r̥ k
jöfnunarmarkið	j ˈ œ p n ʏ n a r m ˌ a r̥ c ɪ ð
jöfnunarsjóð	j ˈ œ p n ʏ n a r s j ˌ ou ð
jöfnunarsjóði	j ˈ œ p n ʏ n a r s j ˌ ou ð ɪ
jöfnunarsjóðs	j ˈ œ p n ʏ n a r s j ˌ ou ð s
jöfnuð	j ˈ œ p n ʏ ð
jöfnuði	j ˈ œ p n ʏ ð ɪ
jöfnuðu	j ˈ œ p n ʏ ð ʏ
jöfnuður	j ˈ œ p n ʏ ð ʏ r
jökla	j ˈ œ h k l a
jöklar	j ˈ œ h k l a r
jökli	j ˈ œ h k l ɪ
jöklinum	j ˈ œ h k l ɪ n ʏ m
jöklum	j ˈ œ h k l ʏ m
jökul	j ˈ œː k ʏ l
jökuldal	j ˈ œː k ʏ l t ˌ a l
jökulinn	j ˈ œː k ʏ l ɪ n
jökull	j ˈ œː k ʏ t l̥
jökullinn	j ˈ œː k ʏ t l ɪ n
jökulsins	j ˈ œː k ʏ l s ɪ n s
jökulsson	j ˈ œː k ʏ l s s ˌ ɔ n
jökulsá	j ˈ œː k ʏ l s au
jökulsár	j ˈ œː k ʏ l s ˌ au r
jökulsárlón	j ˈ œː k ʏ l s au r l ˌ ou n
jörgen	j ˈ œ r c ɛ n
jörgensen	j ˈ œ r c ɛ n s ˌ ɛ n
jörpu	j ˈœ r̥ p ʏ
jörundur	j ˈ œː r ʏ n t ʏ r
jörð	j ˈ œ r ð
jörðin	j ˈ œ r ð ɪ n
jörðina	j ˈ œ r ð ɪ n a
jörðinni	j ˈ œ r ð ɪ n ɪ
jörðu	j ˈ œ r ð ʏ
jörðum	j ˈ œ r ð ʏ m
jötunn	j ˈ œː t ʏ n
jötunni	j ˈ œː t ʏ n ɪ
jú	j ˈ uː
júdó	j ˈ uː t ou
júgóslava	j ˈ uː k ou s t l a v a
júgóslavnesk	j ˈuː k ou s t l a v n ɛ s k
júgóslavneska	j ˈ uː k ou s t l a v n ɛ s k a
júgóslavneskan	j ˈuː k ou s t l a v n ɛ s k a n
júgóslavneski	j ˈuː k ou s t l a v n ɛ s c ɪ
júgóslavneskir	j ˈuː k ou s t l a v n ɛ s c ɪ r
júgóslavnesku	j ˈuː k ou s t l a v n ɛ s k ʏ
júgóslavneskum	j ˈuː k ou s t l a v n ɛ s k ʏ m
júgóslavneskur	j ˈuː k ou s t l a v n ɛ s k ʏ r
júgóslavía	j ˈ uː k ou s t l a v i j a
júgóslavíu	j ˈ uː ɣ ou s t l a v i j ʏ
júlla	j ˈ u l a
júllan	j ˈu l a n
júllanna	j ˈu l a n a
júllu	j ˈu l ʏ
júllum	j ˈu l ʏ m
júlluna	j ˈu l ʏ n a
júllunnar	j ˈu l ʏ n a r
júllunni	j ˈu l ʏ n ɪ
júllunum	j ˈu l ɔ n ʏ m
júllur	j ˈu l ʏ r
júllurnar	j ˈu l ʏ r t n a r
júlí	j ˈ uː l i
júlía	j ˈ uː l i j a
júlíana	j ˈ uː l i j a n a
júlímánuði	j ˈ uː l i m ˌ au n ʏ ð ɪ
júlíu	j ˈ uː l i j ʏ
júlíus	j ˈ uː l i j ʏ s
júlíusar	j ˈ uː l i j ʏ s a r
júlíusdóttir	j ˈ uː l i j ʏ s t ˌ ou h t ɪ r
júlíusdóttur	j ˈ uː l i j ʏ s t ˌ ou h t ʏ r
júlíusi	j ˈ uː l i j ʏ s ɪ
júlíusson	j ˈ uː l i j ʏ s s ˌ ɔ n
júlíussonar	j ˈ uː l i j ʏ s s ˌ ɔ n a r
júlíussyni	j ˈ uː l i j ʏ s s ˌ ɪ n ɪ
júní	j ˈ uː n i
júnímánuði	j ˈ uː n i m ˌ au n ʏ ð ɪ
júpíter	j ˈ uː p i t ɛ r
jürgen	j ˈʏ r c ɛ n
k	kʰ ˈ auː
kabúl	kʰ ˈ aː p u l
kaf	kʰ ˈ aː v
kafa	kʰ ˈ aː v a
kafaldshríð	kʰ ˈaː v a l t s r̥ ˌi ð
kafarar	kʰ ˈ aː v a r a r
kafað	kʰ ˈ aː v a ð
kafaði	kʰ ˈ aː v a ð ɪ
kafbátnum	kʰ ˈ aː v p au h t n ʏ m
kaffi	kʰ ˈ a f ɪ
kaffibolla	kʰ ˈ a f ɪ p ˌ ɔ t l a
kaffibollana	kʰ ˈa f ɪ p ˌɔ l a n a
kaffibollann	kʰ ˈ a f ɪ p ˌ ɔ t l a n
kaffibollanna	kʰ ˈa f ɪ p ɔ t l a n a
kaffibollans	kʰ ˈa f ɪ p ɔ t l a n s
kaffibollanum	kʰ ˈ a f ɪ p ˌ ɔ t l a n ʏ m
kaffibollar	kʰ ˈ a f ɪ p ˌ ɔ t l a r
kaffibollarnir	kʰ ˈa f ɪ p ɔ t l a r t n ɪ r
kaffibolli	kʰ ˈ a f ɪ p ˌ ɔ t l ɪ
kaffibollinn	kʰ ˈ a f ɪ p ˌ ɔ t l ɪ n
kaffibollum	kʰ ˈ a f ɪ p ˌ ɔ l ʏ m
kaffibollunum	kʰ ˈa f ɪ p ˌɔ l ɔ n ʏ m
kaffiboð	kʰ ˈ a f ɪ p ˌ ɔ ð
kaffibrúsa	kʰ ˈa f ɪ p r ˌu s a
kaffihlaðborð	kʰ ˈ a f ɪ l̥ a ð p ˌ ɔ r ð
kaffihlé	kʰ ˈ a f ɪ l̥ j ˌ ɛ
kaffihús	kʰ ˈ a f ɪ h ˌ u s
kaffihúsa	kʰ ˈ a f ɪ h ˌ u s a
kaffihúsi	kʰ ˈ a f ɪ h ˌ u s ɪ
kaffihúsin	kʰ ˈ a f ɪ h ˌ u s ɪ n
kaffihúsinu	kʰ ˈ a f ɪ h ˌ u s ɪ n ʏ
kaffihúsið	kʰ ˈ a f ɪ h ˌ u s ɪ ð
kaffihúsum	kʰ ˈ a f ɪ h ˌ u s ʏ m
kaffikanna	kʰ ˈa f ɪ kʰ ˌa n a
kaffikannan	kʰ ˈa f ɪ kʰ ˌa n a n
kaffikompunni	kʰ ˈa f ɪ kʰ ɔ m̥ p ʏ n ɪ
kaffikönnuna	kʰ ˈa f ɪ kʰ ˌœ n ʏ n a
kaffikönnunni	kʰ ˈa f ɪ kʰ œ n ʏ n ɪ
kaffileikhúsið	kʰ ˈa f ɪ l ei k h ˌu s ɪ ð
kaffilögunar	kʰ ˈa f ɪ l ˌœ ɣ ʏ n a r
kaffinu	kʰ ˈ a f ɪ n ʏ
kaffisala	kʰ ˈ a f ɪ s ˌ a l a
kaffisopa	kʰ ˈ a f ɪ s ˌ ɔ p a
kaffisopi	kʰ ˈa f ɪ s ˌɔ p ɪ
kaffispjall	kʰ ˈ a f ɪ s p j ˌ a t l̥
kaffistell	kʰ ˈa f ɪ s t ˌɛ l
kaffistelli	kʰ ˈa f ɪ s t ˌɛ l ɪ
kaffistellið	kʰ ˈa f ɪ s t ɛ l l ɪ ð
kaffistofa	kʰ ˈ a f ɪ s t ˌ ɔ v a
kaffistofan	kʰ ˈ a f ɪ s t ˌ ɔ v a n
kaffistofu	kʰ ˈ a f ɪ s t ˌ ɔ v ʏ
kaffistofuna	kʰ ˈ a f ɪ s t ˌ ɔ v ʏ n a
kaffistofunni	kʰ ˈ a f ɪ s t ˌ ɔ v ʏ n ɪ
kaffisölu	kʰ ˈ a f ɪ s ˌ œ l ʏ
kaffiveitingar	kʰ ˈ a f ɪ v ˌ ei t i ŋ k a r
kaffivél	kʰ ˈ a f ɪ v j ˌ ɛ l
kaffivélinni	kʰ ˈ a f ɪ v j ˌ ɛ l ɪ n ɪ
kaffið	kʰ ˈ a f ɪ ð
kaffugl	kʰ ˈaː v f ʏ k l̥
kafi	kʰ ˈ aː v ɪ
kafin	kʰ ˈ aː v ɪ n
kafla	kʰ ˈ a p l a
kaflaheiti	kʰ ˈa p l a h ˌei t ɪ
kaflann	kʰ ˈ a p l a n
kaflans	kʰ ˈ a p l a n s
kaflanum	kʰ ˈ a p l a n ʏ m
kaflar	kʰ ˈ a p l a r
kaflaskil	kʰ ˈ a p l a s c ˌ ɪ l
kafli	kʰ ˈ a p l ɪ
kaflinn	kʰ ˈ a p l ɪ n
kafna	kʰ ˈ a p n a
kafnir	kʰ ˈ a p n ɪ r
kafrjóð	kʰ ˈa v r j ou ð
kahn	kʰ ˈ aː n
kahoot	kʰ ˈa h uː t
kaiserslautern	kʰ ˈ aiː s ɛ r̥ s l au tʰ ɛ r n
kaj	kʰ ˈ ai
kajaka	kʰ ˈ ai j a k a
kajakinn	kʰ ˈ ai j a c ɪ n
kaka	kʰ ˈ aː k a
kakan	kʰ ˈ aː k a n
kakkalakki	kʰ ˈa h k a l ˌa h c ɪ
kaktusa	kʰ ˈa x t ʏ s a
kaktusum	kʰ ˈa x t ʏ s ʏ m
kakó	kʰ ˈ aː k ou
kakósúpu	kʰ ˈaː k ou s ˌu p ʏ
kalda	kʰ ˈ a l t a
kaldalóns	kʰ ˈ a l t a l ˌ ou n s
kaldan	kʰ ˈ a l t a n
kaldar	kʰ ˈ a l t a r
kaldara	kʰ ˈ a l t a r a
kaldast	kʰ ˈ a l t a s t
kaldbaki	kʰ ˈ a l t p a c ɪ
kaldhæðinn	kʰ ˈ a l t h ai ð ɪ n
kaldhæðni	kʰ ˈ a l t h ai ð n ɪ
kaldhæðnislegt	kʰ ˈ a l t h ai ð n ɪ s t l ɛ x t
kaldi	kʰ ˈ a l t ɪ
kaldir	kʰ ˈ a l t ɪ r
kaldra	kʰ ˈ a l t r a
kaldur	kʰ ˈ a l t ʏ r
kale	kʰ ˈ aː l ɛ
kaliforníu	kʰ ˈ aː l ɪ f ɔ r t n i j ʏ
kalk	kʰ ˈ a l̥ k
kalka	kʰ ˈ a l̥ k a
kalkaðir	kʰ ˈa l̥ k a ð ɪ r
kalkhellanna	kʰ ˈa l̥ k h ɛ t l a n a
kalki	kʰ ˈ a l̥ c ɪ
kalkmjólkinni	kʰ ˈa l̥ k m j ou l̥ c ɪ n ɪ
kalkpokum	kʰ ˈa l̥ k pʰ ɔ k ʏ m
kalkskeljar	kʰ ˈa l̥ k s c ɛ l j a r
kalksteinn	kʰ ˈ a l̥ k s t ei t n̥
kalkúnn	kʰ ˈ a l̥ k u t n̥
kalkþörungaverksmiðju	kʰ ˈ a l̥ k θ œ r u ŋ k a v ˌ ɛ r̥ k s m ɪ ð j ʏ
kall	kʰ ˈ a t l̥
kalla	kʰ ˈ a t l a
kallakvöld	kʰ ˈa l a kʰ v ˌœ l t
kallana	kʰ ˈ a t l a n a
kallandi	kʰ ˈ aː l l a n t ɪ
kallanna	kʰ ˈ a t l a n a
kallar	kʰ ˈ a t l a r
kallarnir	kʰ ˈ a t l a r t n ɪ r
kallast	kʰ ˈ aː t l a s t
kallaðar	kʰ ˈ aː t l a ð a r
kallaði	kʰ ˈ a t l a ð ɪ
kallaðir	kʰ ˈ a t l a ð ɪ r
kallaðist	kʰ ˈ a t l a ð ɪ s t
kallaður	kʰ ˈ a t l a ð ʏ r
kallfæri	kʰ ˈ a t l̥ f ai r ɪ
kalli	kʰ ˈ a l ɪ
kallinn	kʰ ˈ a t l ɪ n
kallinu	kʰ ˈ a t l ɪ n ʏ
kallinum	kʰ ˈ a t l ɪ n ʏ m
kallið	kʰ ˈ aː t l ɪ ð
kallsbréfið	kʰ ˈa t l̥ s p r j ɛ v ɪ ð
kalmanstungu	kʰ ˈaː l m a n s tʰ ˌu ŋ k ʏ
kalmar	kʰ ˈ aː l m a r
kalskemmdir	kʰ ˈ aː l s c ɛ m t ɪ r
kalskemmdum	kʰ ˈaː l s c ɛ m t ʏ m
kalúmjoðati	kʰ ˈaː l u m j ɔ ð a t ɪ
kam	kʰ ˈ aː m
kamar	kʰ ˈ aː m a r
kamb	kʰ ˈ a m p
kambafjallgarðinum	kʰ ˈa m p a f j a t l̥ k ˌa r ð ɪ n ʏ m
kambafólkinu	kʰ ˈa m p a f ˌou l̥ c ɪ n ʏ
kambahreppi	kʰ ˈa m p a r̥ ˌɛ h p ɪ
kambsins	kʰ ˈa m p s ɪ n s
kambur	kʰ ˈ a m p ʏ r
kambódíu	kʰ ˈ a m p ou t i j ʏ
kamelljón	kʰ ˈ aː m ɛ l j ou n
kamelljóna	kʰ ˈaː m ɛ l j ou n a
kamelljóni	kʰ ˈaː m ɛ l j ou n ɪ
kamelljónin	kʰ ˈaː m ɛ l j ou n ɪ n
kamelljóninu	kʰ ˈaː m ɛ l j ou n ɪ n ʏ
kamelljónið	kʰ ˈaː m ɛ l j ou n ɪ ð
kamelljónsins	kʰ ˈaː m ɛ l j ou n s ɪ n s
kamelljónunum	kʰ ˈaː m ɛ l j ou n ɔ n ʏ m
kamerún	kʰ ˈ aː m ɛ r u n
kamilla	kʰ ˈ aː m ɪ l a
kamillan	kʰ ˈaː m ɪ l a n
kamillu	kʰ ˈ aː m ɪ l ʏ
kamilluna	kʰ ˈaː m ɪ l ʏ n a
kamillunnar	kʰ ˈaː m ɪ l ʏ n a r
kamillunni	kʰ ˈaː m ɪ l ʏ n ɪ
kamillute	kʰ ˈaː m ɪ l ʏ tʰ ɛ
kamillutei	kʰ ˈaː m ɪ l ʏ tʰ ɛ ɪ
kammerkór	kʰ ˈ a m ɛ r kʰ ou r
kammertónlist	kʰ ˈ a m ɛ r̥ tʰ ou n l ɪ s t
kammerverk	kʰ ˈ a m ɛ r v ɛ r̥ k
kampavín	kʰ ˈ a m̥ p a v ˌ i n
kampavínsflösku	kʰ ˈ a m̥ p a v i n s f l ˌ œ s k ʏ
kampinn	kʰ ˈ a m̥ p ɪ n
kampur	kʰ ˈa m̥ p ʏ r
kamrinum	kʰ ˈ a m r ɪ n ʏ m
kan	kʰ ˈ aː n
kanada	kʰ ˈ aː n a t a
kanadamenn	kʰ ˈ aː n a t a m ˌ ɛ n
kanadíska	kʰ ˈ aː n a t i s k a
kanadísku	kʰ ˈ aː n a t i s k ʏ
kanadískur	kʰ ˈ aː n a t i s k ʏ r
kanaríeyjum	kʰ ˈ aː n a r i ˌ ei j ʏ m
kane	kʰ ˈ eiː n
kanilsykri	kʰ ˈ aː n ɪ l s ˌ ɪ k r ɪ
kankvís	kʰ ˈ au ŋ̊ k v i s
kankvíslega	kʰ ˈ au ŋ̊ k v i s l ˌ ɛ ɣ a
kann	kʰ ˈ a n
kanna	kʰ ˈ a n a
kannabis	kʰ ˈ a n a p ɪ s
kannabisefna	kʰ ˈ a n a p ɪ s ˌ ɛ p n a
kannabisefni	kʰ ˈ a n a p ɪ s ˌ ɛ p n ɪ
kannabisefnum	kʰ ˈ a n a p ɪ s ˌ ɛ p n ʏ m
kannabisplöntur	kʰ ˈ a n a p ɪ s pʰ l ˌ œ n̥ t ʏ r
kannana	kʰ ˈ a n a n a
kannanir	kʰ ˈ a n a n ɪ r
kannar	kʰ ˈ a n a r
kannast	kʰ ˈ a n a s t
kannað	kʰ ˈ a n a ð
kannaðar	kʰ ˈ a n a ð a r
kannaði	kʰ ˈ a n a ð ɪ
kannaðir	kʰ ˈ a n a ð ɪ r
kannaðist	kʰ ˈ a n a ð ɪ s t
kannaður	kʰ ˈ a n a ð ʏ r
kanni	kʰ ˈ a n ɪ
kannist	kʰ ˈ a n ɪ s t
kannske	kʰ ˈ a n s c ɛ
kannski	kʰ ˈ a n s c ɪ
kannt	kʰ ˈ a n̥ t
kansas	kʰ ˈ a n s a s
kansellíbréfi	kʰ ˈa n s ɛ t l i p r j ˌɛ v ɪ
kansellíbréfs	kʰ ˈa n s ɛ t l i p r j ˌɛ f s
kansellíin	kʰ ˈa n s ɛ l i j ɪ n
kansellíinu	kʰ ˈ a n s ɛ l i j ɪ n ʏ
kansellístíllinn	kʰ ˈa n s ɛ t l i s t ˌi t l ɪ n
kansellístíls	kʰ ˈa n s ɛ t l i s t i l s
kanslara	kʰ ˈ a n s t l a r a
kanslari	kʰ ˈ a n s t l a r ɪ
kant	kʰ ˈ a n̥ t
kanta	kʰ ˈ a n̥ t a
kantarellu	kʰ ˈa n̥ t a r ɛ l ʏ
kantarellum	kʰ ˈa n̥ t a r ɛ l ʏ m
kantarellur	kʰ ˈa n̥ t a r ɛ l ʏ r
kantarellurnar	kʰ ˈa n̥ t a r ɛ l ʏ r t n a r
kante	kʰ ˈ a n̥ t ɛ
kanti	kʰ ˈ a n̥ t ɪ
kantinn	kʰ ˈ a n̥ t ɪ n
kantinum	kʰ ˈ a n̥ t ɪ n ʏ m
kantlengd	kʰ ˈa n̥ t l ei ŋ t
kantmanninum	kʰ ˈ a n̥ t m a n ɪ n ʏ m
kantmaður	kʰ ˈ a n̥ t m a ð ʏ r
kantmaðurinn	kʰ ˈ a n̥ t m a ð ʏ r ɪ n
kantmönnunum	kʰ ˈa n̥ t m œ n ɔ n ʏ m
kanton	kʰ ˈ a n̥ t ɔ n
kantonsku	kʰ ˈa n̥ t ɔ n s k ʏ
kantsteinarnir	kʰ ˈa n̥ t s t ei n a r t n ɪ r
kantur	kʰ ˈ a n̥ t ʏ r
kanye	kʰ ˈ aː n j a
kanína	kʰ ˈ aː n i n a
kanínan	kʰ ˈ aː n i n a n
kanínur	kʰ ˈ aː n i n ʏ r
kapalinn	kʰ ˈ aː p a l ɪ n
kapelluhraun	kʰ ˈ aː p ɛ t l ʏ r̥ ˌ œy n
kapelluna	kʰ ˈ aː p ɛ t l ʏ n a
kapellunnar	kʰ ˈ aː p ɛ t l ʏ n a r
kapellunni	kʰ ˈ aː p ɛ t l ʏ n ɪ
kaplakrika	kʰ ˈ a h p l a kʰ r ˌ ɪ k a
kaplakriki	kʰ ˈ a h p l a kʰ r ˌ ɪ c ɪ
kaplaskjólsvegi	kʰ ˈa h p l a s c ou l s v ˌei j ɪ
kapp	kʰ ˈ a h p
kappa	kʰ ˈ a h p a
kappakstri	kʰ ˈ a h p a k s t r ɪ
kappakstrinum	kʰ ˈ a h p a k s t r ɪ n ʏ m
kappakstur	kʰ ˈ a h p a k s t ʏ r
kappaksturinn	kʰ ˈ a h p a k s t ʏ r ɪ n
kappakstursbíll	kʰ ˈ a h p a k s t ʏ r̥ s p ˌ i t l̥
kappaksturshetjan	kʰ ˈa h p a k s t ʏ r̥ s h ˌɛ t j a n
kappakstursins	kʰ ˈ a h p a k s t ʏ r̥ s ɪ n s
kappann	kʰ ˈ a h p a n
kappans	kʰ ˈ a h p a n s
kappanum	kʰ ˈ a h p a n ʏ m
kappar	kʰ ˈ a h p a r
kapphlaup	kʰ ˈ a h p l̥ œy p
kapphlaupi	kʰ ˈ a h p l̥ œy p ɪ
kappi	kʰ ˈ a h p ɪ
kappinn	kʰ ˈ a h p ɪ n
kappkosta	kʰ ˈ a h p kʰ ɔ s t a
kappkostað	kʰ ˈ a h p kʰ ɔ s tʰ ˌ a ð
kappkostum	kʰ ˈ a h p kʰ ɔ s t ʏ m
kappnóg	kʰ ˈ a h p n ou ɣ
kappsmál	kʰ ˈ a h p s m au l
kaptein	kʰ ˈ a f t ei n
kapteina	kʰ ˈa f t ei n a
kapteininn	kʰ ˈa f t ei n ɪ n
kapteininum	kʰ ˈa f t ei n ɪ n ʏ m
kapteinn	kʰ ˈ a f t ei t n̥
kapteinninn	kʰ ˈa f t ei t n ɪ n
kapteins	kʰ ˈ a f t ei n s
kapteinsins	kʰ ˈa f t ei n s ɪ n s
kapteinum	kʰ ˈa f t ei n ʏ m
kapítuli	kʰ ˈ aː p i tʰ ʏ l ɪ
kar	kʰ ˈ aː r
kara	kʰ ˈ aː r a
karabíska	kʰ ˈ aː r a p i s k a
karabískahafsins	kʰ ˈaː r a p i s k a h ˌa f s ɪ n s
karafla	kʰ ˈaː r a p l a
karaflan	kʰ ˈaː r a f l a n
karakter	kʰ ˈ aː r a x t ɛ r
karakterinn	kʰ ˈ aː r a x t ɛ r ɪ n
karamella	kʰ ˈ aː r a m ɛ l a
karamellan	kʰ ˈ aː r a m ɛ l a n
karamellanna	kʰ ˈaː r a m ɛ l a n a
karamellu	kʰ ˈ aː r a m ɛ l ʏ
karamellukökum	kʰ ˈaː r a m ɛ l ʏ kʰ ˌœ k ʏ m
karamellukökunni	kʰ ˈaː r a m ɛ l ʏ kʰ ˌœ k ʏ n ɪ
karamellukökur	kʰ ˈaː r a m ɛ l ʏ kʰ ˌœ k ʏ r
karamellum	kʰ ˈ aː r a m ɛ l ʏ m
karamelluna	kʰ ˈ aː r a m ɛ l ʏ n a
karamellunnar	kʰ ˈaː r a m ɛ l ʏ n a r
karamellunni	kʰ ˈ aː r a m ɛ l ʏ n ɪ
karamellunum	kʰ ˈaː r a m ɛ l ɔ n ʏ m
karamellur	kʰ ˈ aː r a m ɛ l ʏ r
karamellurnar	kʰ ˈ aː r a m ɛ l ʏ r t n a r
karate	kʰ ˈ aː r a t ɛ
kardashian	kʰ ˈ a r t a s i a n
karel	kʰ ˈ aː r ɛ l
karen	kʰ ˈ aː r ɛ n
karfa	kʰ ˈ a r v a
karfan	kʰ ˈ a r v a n
karfi	kʰ ˈ a r v ɪ
kari	kʰ ˈ aː r ɪ
karim	kʰ ˈ aː r i m
karin	kʰ ˈ aː r ɪ n
karitas	kʰ ˈ aː r ɪ t a s
karl	kʰ ˈ a r t l̥
karla	kʰ ˈ a r t l a
karlaflokki	kʰ ˈ a r t l a f l ˌ ɔ h c ɪ
karlafundur	kʰ ˈa r t l a f ˌʏ n t ʏ r
karlaklósettinu	kʰ ˈa r t l a kʰ l ou s ˌɛ h t ɪ n ʏ
karlaklósettið	kʰ ˈa r t l a kʰ l ou s ˌɛ h t ɪ ð
karlakór	kʰ ˈ a r t l a kʰ ˌ ou r
karlakórinn	kʰ ˈ a r t l a kʰ ˌ ou r ɪ n
karlakórs	kʰ ˈ a r t l a kʰ ˌ ou r̥ s
karlalandsliðið	kʰ ˈ a r t l a l a n t s l ˌ ɪ ð ɪ ð
karlalandsliðsins	kʰ ˈ a r t l a l a n t s l ˌ ɪ ð s ɪ n s
karlalið	kʰ ˈ a r t l̥ a l ɪ ð
karlaliðs	kʰ ˈ a r t l a l ˌ ɪ ð s
karlana	kʰ ˈ a r t l a n a
karlar	kʰ ˈ a r t l a r
karlarnir	kʰ ˈ a r t l a r t n ɪ r
karlasveitir	kʰ ˈa r t l a s v ˌei t ɪ r
karlfjandanum	kʰ ˈa r t l̥ f j a n t a n ʏ m
karlfressið	kʰ ˈa r t l̥ f r ɛ s ɪ ð
karlfólk	kʰ ˈa r t l̥ f ou l̥ k
karlgreyið	kʰ ˈa r t l̥ k r ei ð ɪ ð
karli	kʰ ˈ a r t l ɪ
karlinn	kʰ ˈ a r t l ɪ n
karlinum	kʰ ˈ a r t l ɪ n ʏ m
karlkyns	kʰ ˈ a r t l̥ cʰ ɪ n s
karllega	kʰ ˈa r t l̥ l ɛ ɣ a
karlmann	kʰ ˈ a r t l̥ m a n
karlmanna	kʰ ˈ a r t l̥ m a n a
karlmanni	kʰ ˈ a r t l̥ m a n ɪ
karlmanninn	kʰ ˈ a r t l̥ m a n ɪ n
karlmanninum	kʰ ˈ a r t l̥ m a n ɪ n ʏ m
karlmannlega	kʰ ˈ a r t l̥ m a n l ˌ ɛ ɣ a
karlmannlegri	kʰ ˈa r t l̥ m a n l ɛ ɣ r ɪ
karlmannlegur	kʰ ˈ a r t l̥ m a n l ˌ ɛ ɣ ʏ r
karlmanns	kʰ ˈ a r t l̥ m a n s
karlmannsfötum	kʰ ˈ a r t l̥ m a n s f ˌ œ t ʏ m
karlmannsrödd	kʰ ˈ a r t l̥ m a n s r ˌ œ t
karlmannsstarfa	kʰ ˈa r t l̥ m a n s s t ˌa r v a
karlmaður	kʰ ˈ a r t l̥ m a ð ʏ r
karlmaðurinn	kʰ ˈ a r t l̥ m a ð ʏ r ɪ n
karlmenn	kʰ ˈ a r t l̥ m ɛ n
karlmennirnir	kʰ ˈ a r t l̥ m ɛ n ɪ r t n ɪ r
karlmennska	kʰ ˈ a r t l̥ m ɛ n s k a
karlmennsku	kʰ ˈ a r t l̥ m ɛ n s k ʏ
karlmönnum	kʰ ˈ a r t l̥ m œ n ʏ m
karlmönnunum	kʰ ˈ a r t l̥ m œ n ɔ n ʏ m
karlotta	kʰ ˈ a r l ɔ h t a
karlpersónur	kʰ ˈa r t l̥ pʰ ɛ r̥ s ou n ʏ r
karlsdóttir	kʰ ˈ a r t l s t ou h t ɪ r
karlsdóttur	kʰ ˈ a r t l s t ou h t ʏ r
karlsson	kʰ ˈ a r t l s s ɔ n
karlssonar	kʰ ˈ a r t l s s ɔ n a r
karlssyni	kʰ ˈ a r t l s s ɪ n ɪ
karma	kʰ ˈ a r m a
karmelklaustur	kʰ ˈaː r m ɛ l kʰ l ˌœy s t ʏ r
karnival	kʰ ˈ a r n ɪ v a l
karnivali	kʰ ˈa r n ɪ v a l ɪ
karnivalinu	kʰ ˈa r n ɪ v a l ɪ n ʏ
karnivalið	kʰ ˈa r n ɪ v a l ɪ ð
karnivals	kʰ ˈa r n ɪ v a l s
karnivalsins	kʰ ˈa r n ɪ v a l s ɪ n s
karnivöl	kʰ ˈa r n ɪ v œ l
karnivölum	kʰ ˈa r n ɪ v œ l ʏ m
karpa	kʰ ˈ a r̥ p a
karpatafjöllum	kʰ ˈ a r̥ p a t a f j œ t l ʏ m
karpov	kʰ ˈ a r̥ p ɔ f
karríi	kʰ ˈ a r i ɪ
kartafla	kʰ ˈ aː r tʰ a p l a
kartöflubollur	kʰ ˈaː r tʰ œ p l ʏ p ˌɔ l ʏ r
kartöflum	kʰ ˈ aː r tʰ œ p l ʏ m
kartöflumauki	kʰ ˈaː r tʰ œ p l ʏ m ˌœy c ɪ
kartöfluna	kʰ ˈ aː r tʰ œ p l ʏ n a
kartöflunum	kʰ ˈ aː r tʰ œ p l ɔ n ʏ m
kartöflur	kʰ ˈ aː r tʰ œ p l ʏ r
kartöflurnar	kʰ ˈ aː r tʰ œ p l ʏ r t n a r
kartöflustöppu	kʰ ˈaː r tʰ œ p l ʏ s t œ h p ʏ
karvel	kʰ ˈ aː r v ɛ l
karítas	kʰ ˈ aː r i t a s
karólína	kʰ ˈ aː r ou l i n a
karólínu	kʰ ˈ aː r ou l i n ʏ
karöflu	kʰ ˈaː r œ f l ʏ
karöflum	kʰ ˈaː r œ p l ʏ m
karöfluna	kʰ ˈaː r œ f l ʏ n a
karöflunnar	kʰ ˈaː r œ f l ʏ n a r
karöflur	kʰ ˈ aː r œ f l ʏ r
karöflurnar	kʰ ˈaː r œ f l ʏ r t n a r
kasakstan	kʰ ˈ aː s a k s t a n
kasjú	kʰ ˈa s j u
kasmír	kʰ ˈ a s m i r
kasparov	kʰ ˈ a s p a r ɔ v
kasper	kʰ ˈ a s p ɛ r
kassa	kʰ ˈ a s a
kassagítar	kʰ ˈ a s a c ˌ i t a r
kassana	kʰ ˈ a s a n a
kassann	kʰ ˈ a s a n
kassanum	kʰ ˈ a s a n ʏ m
kassi	kʰ ˈ a s ɪ
