aaron	a: r O n
kvarta	k_h v a r_0 t a
kvartanir	k_h v a r_0 t a n I r
kvartar	k_h v a r_0 t a r
kvartaði	k_h v a r_0 t a D I
kvartmíluklúbbsins	k_h v a r_0 t m i l Y k_h l u p s I n s
kvatt	k_h v a h t
kvað	k_h v a: D
kvaðratsútreikningum	k_h v a D r a t s u t r ei h k n i N k Y m
kvaðst	k_h v a D s t
kvef	k_h v E: f
kvefinu	k_h v E: v I n Y
kveikinn	k_h v ei: c I n
kveikir	k_h v ei: c I r
kveikja	k_h v ei: c a
kveikjan	k_h v ei: c a n
kveikjarann	k_h v ei: c a r a n
kveikjaranum	k_h v ei: c a r a n Y m
kveikt	k_h v ei x t
kveikti	k_h v ei x t I
kveiktu	k_h v ei x t Y
kveina	k_h v ei: n a
kveinkaði	k_h v ei N_0 k a D I
kveldi	k_h v E l t I
kveldúlf	k_h v E l t u l f
kveldúlfs	k_h v E l t u l f s
kvelja	k_h v E l j a
kvelur	k_h v E: l Y r
kvenfélag	k_h v E n f j E l a G
kvenfélagi	k_h v E n f j E l ai j I
kvenfélagið	k_h v E n f j E l ai j I D
kvenfólk	k_h v E n f ou l_0 k
kvenfólkið	k_h v E n f ou l_0 c I D
kvenhormónum	k_h v E n h O r m ou n Y m
kvenkyn	k_h v E n c_h I n
kvenkynið	k_h v E n c_h I n I D
kvenkyns	k_h v E n c_h I n s
kvenkynsnafnorð	k_h v E J c_h I n s t n a p n O r D
kvenlega	k_h v E n l E G a
kvenlegur	k_h v E n l E G Y r
kvenlíkami	k_h v E n l i k a m I
kvenmannsrödd	k_h v E n m a n s r 9 t
kvenna	k_h v E n a
kvennadagurinn	k_h v E n a t a G Y r I n
kvennaflokki	k_h v E n a f l O h c I
kvennagull	k_h v E n a k Y t l_0
kvennalandsliðið	k_h v E n a l a n t s t l I D I D
kvennalið	k_h v E n a l I D
kvennamálum	k_h v E n a m au l Y m
kvennanna	k_h v E n a n a
kvennarannsóknir	k_h v E n a r a n s ou h k n I r
kvennasveitir	k_h v E n a s v ei t I r
kvennasögusafni	k_h v E n a s 9 G Y s a p n I
kvenréttindadeginum	k_h v E n r j E h t I n t a t ei j I n Y m
kvenþjóðin	k_h v E n T j ou D I n
kver	k_h v E: r
kverkar	k_h v E r_0 k a r
kverkfjöll	k_h v E r_0 k f j 9 t l_0
kveða	k_h v E: D a
kveðin	k_h v E: D I n
kveðið	k_h v E: D I D
kveðja	k_h v E D j a
kveðjum	k_h v E D j Y m
kveðjumst	k_h v E D j Y m s t
kveðjur	k_h v E D j Y r
kveðjurnar	k_h v E D j Y r t n a r
kveðjustund	k_h v E D j Y s t Y n t
kveðjustundinni	k_h v E D j Y s t Y n t I n I
kveðskapur	k_h v E D s k a p Y r
kveðskapurinn	k_h v E D s k a p Y r I n
kveðst	k_h v E D s t
kveður	k_h v E: D Y r
kvika	k_h v I: k a
kvikasilfur	k_h v I: k a s I l v Y r
kvikindum	k_h v I: c I n t Y m
kvikmynd	k_h v I: k m I n t
kvikmynda	k_h v I k m I n t a
kvikmyndagerð	k_h v I k m I n t a c E r D
kvikmyndagerðarmanna	k_h v I: k m I n t a c E r D a r m a n a
kvikmyndagerðarmenn	k_h v I: k m I n t a c E r D a r m E n
kvikmyndagerðarmönnum	k_h v I: k m I n t a c E r D a r m 9 n Y m
kvikmyndahátíð	k_h v I: k m I n t a h au t_h i D
kvikmyndahátíðinni	k_h v I: k m I n t a h au t_h i D I n I
kvikmyndahúsum	k_h v I: k m I n t a h u s Y m
kvikmyndanna	k_h v I: k m I n t a n a
kvikmyndasjóði	k_h v I: k m I n t a s j ou D I
kvikmyndasjóðs	k_h v I: k m I n t a s j ou D s
kvikmyndastjörnur	k_h v I: k m I n t a s t j 9 r t n Y r
kvikmyndasögunnar	k_h v I: k m I n t a s 9 G Y n a r
kvikmyndatónlist	k_h v I: k m I n t a t_h ou n l I s t
kvikmyndavinnu	k_h v I: k m I n t a v I n Y
kvikmyndin	k_h v I: k m I n t I n
kvikmyndum	k_h v I: k m I n t Y m
kvikmynduð	k_h v I: k m I n t Y D
kvikna	k_h v I h k n a
kviknakin	k_h v I: k n a c I n
kviknar	k_h v I h k n a r
kviksyndi	k_h v I: k s I n t I
kviku	k_h v I: k Y
kvilli	k_h v I t l I
kvillum	k_h v I t l Y m
kvintett	k_h v I n_0 t E h t
kvistill	k_h v I s t I t l_0
kvistur	k_h v I s t Y r
kvitta	k_h v I h t a
kvittaði	k_h v I h t a D I
kvittun	k_h v I h t Y n
kvittunina	k_h v I h t Y n I n a
kvittur	k_h v I h t Y r
kviðinn	k_h v I: D I n
kviðskilun	k_h v I D s c I l Y n
kviður	k_h v I: D Y r
kvæntist	k_h v ai n_0 t I s t
kvæði	k_h v ai: D I
kví	k_h v i:
kvísl	k_h v i s t l_0
kvíða	k_h v i: D a
kvíðafull	k_h v i: D a f Y t l_0
kvíðafullur	k_h v i: D a f Y t l Y r
kvíði	k_h v i: D I
kvótakerfið	k_h v ou: t a c_h E r v I D
kvöddu	k_h v 9 t Y
kvöl	k_h v 9: l
kvöld	k_h v 9 l t
kvöldfréttum	k_h v 9 l t f r j E h t Y m
kvöldfyrirlestrum	k_h v 9 l t f I r I r l E s t r Y m
kvöldið	k_h v 9 l t I D
kvöldkjólum	k_h v 9 l t c_h ou l Y m
kvöldlagi	k_h v 9 l t l ai j I
kvöldmatinn	k_h v 9 l t m a t I n
kvöldmatnum	k_h v 9 l t m a h t n Y m
kvöldmatur	k_h v 9 l t m a t Y r
kvöldmessa	k_h v 9 l t m E s a
kvöldmáltíð	k_h v 9 l t m au l t_h i D
kvöldmáltíðin	k_h v 9 l t m au l_0 t_h i D I n
kvölds	k_h v 9 l t s
kvöldsólin	k_h v 9 l t s ou l I n
kvöldverður	k_h v 9 l t v E r D Y r
kvörn	k_h v 9 r t n_0
kvörtun	k_h v 9 r_0 t Y n
kvörtuðu	k_h v 9 r_0 t Y D Y
kvöð	k_h v 9: D
kylfingar	c_h I l f i N k a r
kylfingur	c_h I l v i N k Y r
kylfulengdir	c_h I l v Y l ei N t I r
kylfusvein	c_h I l v Y s v ei n
kylliflatur	c_h I t l I f l a t Y r
kyn	c_h I: n
kynbundinn	c_h I n p Y n t I n
kynbótanefnd	c_h I: n p ou t a n E m t
kyndli	c_h I n t l I
kynferðislega	c_h I n f E r D I s t l E G a
kynferðislegs	c_h I n f E r D I s t l E x s
kynferðislegt	c_h I n f E r D I s t l E x t
kynferðislegu	c_h I n f E r D I s t l E G Y
kynferðisofbeldi	c_h I n f E r D I s O f p E l t I
kyngdi	c_h i N t I
kyngi	c_h i J c I
kyngja	c_h i J c a
kyngt	c_h i N_0 t
kynhneigð	c_h I n n_0 ei G D
kynlífsfíkn	c_h I n l i f s f i h k n
kynlífsiðnaðurinn	c_h I n l i f s I D n a D Y r I n
kynlífsumræða	c_h I n l i f s Y m r ai D a
kynlífsþjónustu	c_h I n l i f s T j ou n Y s t Y
kynna	c_h I n a
kynnast	c_h I n a s t
kynni	c_h I n I
kynning	c_h I n i N k
kynningar	c_h I n i N k a r
kynningarbæklingi	c_h I n i N k a r p ai h k l i J c I
kynningarfulltrúa	c_h I n i N k a r f Y t l_0 t_h r u a
kynningarfunda	c_h I n i N k a r f Y n t a
kynningarfundur	c_h I n i N k a r f Y n t Y r
kynningarmyndir	c_h I n i N k a r m I n t I r
kynningarstarfi	c_h I n i N k a r_0 s t a r v I
kynningin	c_h I n i J c I n
kynningu	c_h I n i N k Y
kynnir	c_h I n I r
kynnist	c_h I n I s t
kynnt	c_h I n_0 t
kynntar	c_h I n_0 t a r
kynntir	c_h I n_0 t I r
kynntu	c_h I n_0 t Y
kynntumst	c_h I n_0 t Y m s t
kynntust	c_h I n_0 t Y s t
kynnum	c_h I n Y m
kynslóð	c_h I n s t l ou D
kynslóða	c_h I n s t l ou D a
kynslóðanna	c_h I n s t l ou D a n a
kynslóðar	c_h I n s t l ou D a r
kynslóðaskipti	c_h I n s t l ou D a s c I f t I
kynslóðina	c_h I n s t l ou D I n a
kynslóðir	c_h I n s t l ou D I r
kynti	c_h I n_0 t I
kynþáttur	c_h I n T au h t Y r
kynþætti	c_h I n T ai h t I
kyrfilega	c_h I r v I l E G a
kyrkt	c_h I r_0 t
kyrr	c_h I r
kyrra	c_h I r a
kyrrahafinu	c_h I r a h a v I n Y
kyrrahafs	c_h I r a h a f s
kyrrahafsins	c_h I r a h a f s I n s
kyrran	c_h I r a n
kyrrar	c_h I r a r
kyrrlát	c_h I r l au t
kyrrlátu	c_h I r l au t Y
kyrrlátur	c_h I r l au t Y r
kyrrsett	c_h I r_0 s E h t
kyrrstöðu	c_h I r s t 9 D Y
kyrrstöðuvinna	c_h I r s t 9 D Y v I n a
kyrrt	c_h I r_0 t
kyrru	c_h I r Y
kyrrð	c_h I r D
kyrrðarstund	c_h I r D a r_0 s t Y n t
kyrrðinni	c_h I r D I n I
kyrrðist	c_h I r D I s t
kyrrþey	c_h I r_0 T ei
kyrtli	c_h I r_0 t l I
kysstumst	c_h I s t Y m s t
káfa	k_h au: v a
káfað	k_h au: v a D
kál	k_h au: l
kála	k_h au: l a
kálfarnir	k_h au l v a r t n I r
kálfholti	k_h au l f h O l_0 t I
kálfinum	k_h au l v I n Y m
kálið	k_h au: l I D
kápa	k_h au: p a
kápuhnöppunum	k_h au: p Y n_0 9 h p O n Y m
kápunni	k_h au: p Y n I
kára	k_h au: r a
kárahnjúkavirkjun	k_h au: r a n_0 j u k a v I r_0 c Y n
kárahnjúkavirkjunar	k_h au: r a n_0 j u k a v I r_0 c Y n a r
kárason	k_h au: r a s O n
kári	k_h au: r I
kársnesi	k_h au r_0 s t n E s I
kársness	k_h au r_0 s t n E s
kássu	k_h au s Y
kátar	k_h au: t a r
kátt	k_h au h t
kátur	k_h au: t Y r
kátína	k_h au: t i n a
kátínu	k_h au: t i n Y
kæfandi	c_h ai: v a n t I
kæla	c_h ai: l a
kæliskápur	c_h ai: l I s k au p Y r
kæmi	c_h ai: m I
kæmist	c_h ai: m I s t
kæmust	c_h ai: m Y s t
kær	c_h ai: r
kæra	c_h ai: r a
kærandi	c_h ai: r a n t I
kærasta	c_h ai: r a s t a
kærastinn	c_h ai: r a s t I n
kærlega	c_h ai r l E G a
kærleik	c_h ai r l ei k
kærleika	c_h ai r l ei k a
kærulaus	c_h ai: r Y l 9i s
kæruleysi	c_h ai: r Y l ei s I
kærunefnd	c_h ai: r Y n E m t
kærunefndar	c_h ai: r Y n E m t a r
kærðu	c_h ai r D Y
kærður	c_h ai r D Y r
kíki	c_h i: c I
kíkir	c_h i: c I r
kíkja	c_h i: c a
kíkt	c_h i x t
kíkti	c_h i x t I
kíló	c_h i: l ou
kílói	c_h i: l ou I
kílóið	c_h i: l ou I D
kílómetra	c_h i: l ou m E t r a
kílómetrar	c_h i: l ou m E t r a r
kílómetrum	c_h i: l ou m E t r Y m
kílóum	c_h i: l ou Y m
kílóverðið	c_h i: l ou v E r D I D
kíminn	c_h i: m I n
kímni	c_h i m n I
kímnigáfa	c_h i m n I k au v a
kímnigáfu	c_h i m n I k au v Y
kína	c_h i: n a
kínverja	c_h i n v E r j a
kínverjar	c_h i n v E r j a r
kínversk	c_h i n v E r_0 s k
kínverska	c_h i n v E r_0 s k a
kínverskan	c_h i n v E r_0 s k a n
kínverskir	c_h i n v E r_0 s c I r
kínverskra	c_h i n v E r_0 s k r a
kínversku	c_h i n v E r_0 s k Y
kínverskum	c_h i n v E r_0 s k Y m
kíóið	c_h i: ou I D
kófið	k_h ou: v I D
kófsveittur	k_h ou f s v ei h t Y r
kók	k_h ou: k
kókaíni	k_h ou: k a i n I
kókómjólk	k_h ou: k ou m j ou l_0 k
kólesteról	k_h ou: l E s t E r ou l
kólna	k_h ou l n a
kólumbíu	k_h ou: l Y m p i j Y
kóngsins	k_h ou N s I n s
kóngur	k_h ou N k Y r
kópaskeri	k_h ou: p a s c E r I
kópavogi	k_h ou: p a v Oi j I
kópavoginum	k_h ou: p a v Oi j I n Y m
kópavogsbæjar	k_h ou: p a v O x s p ai j a r
kópavogsbúa	k_h ou: p a v O x s p u a
kópavogsbúar	k_h ou: p a v O x s p u a r
kópavogskirkja	k_h ou: p a v O x s c_h I r_0 c a
kópavogskirkju	k_h ou: p a v O k s c_h I r_0 c Y
kópur	k_h ou: p Y r
kór	k_h ou: r
kóranna	k_h ou: r a n a
kórarnir	k_h ou: r a r t n I r
kórdrengjum	k_h ou r t r ei J c Y m
kórdrengur	k_h ou r t r ei N k Y r
kórea	k_h ou: r E a
kóreu	k_h ou: r E Y
kórnum	k_h ou r t n Y m
kórstjóri	k_h ou r_0 s t j ou r I
kórstjórinn	k_h ou r_0 s t j ou r I n
kóræfing	k_h ou: r ai v i N k
kóríander	k_h ou: r i j a n t E r
kóða	k_h ou: D a
köflótt	k_h 9 p l ou h t
köfnun	k_h 9 p n Y n
köfnunarefni	k_h 9 p n Y n a r E p n I
köggull	k_h 9 k Y t l_0
köggullinn	k_h 9 k Y t l I n
kökudunkinn	k_h 9: k Y t u J_0 c I n
kökunni	k_h 9: k Y n I
kökur	k_h 9: k Y r
köldu	k_h 9 l t Y
köllum	k_h 9 t l Y m
köllun	k_h 9 t l Y n
köln	k_h 9 l n
köngulóarvefur	k_h 9i N k Y l ou a r v E v Y r
köngulóarvefurinn	k_h 9i N k Y l ou a r v E v Y r I n
köngurlóarvefur	k_h 9i N k Y r l ou a r v E v Y r
könnu	k_h 9 n Y
könnun	k_h 9 n Y n
könnunar	k_h 9 n Y n a r
könnunarferð	k_h 9 n Y n a r_0 f E r D
könnuninni	k_h 9 n Y n I n I
könnunni	k_h 9 n Y n I
könnunum	k_h 9 n O n Y m
körfubolta	k_h 9 r v Y p O l_0 t a
körfuboltinn	k_h 9 r v Y p O l_0 t I n
körfuknattleik	k_h 9 r v Y k_h n a h t l ei k
körfuknattleikur	k_h 9 r v Y k_h n a h t l ei k Y r
körlum	k_h 9 r t l Y m
körlunum	k_h 9 r t l Y n Y m
körpuðu	k_h 9 r_0 p Y D Y
kössunum	k_h 9 s O n Y m
kötlum	k_h 9 h t l Y m
köttinn	k_h 9 h t I n
köttur	k_h 9 h t Y r
kú	k_h u:
kúagerði	k_h u: a c E r D I
kúbu	k_h u: p Y
kúga	k_h u: a
kúgast	k_h u: G a s t
kúka	k_h u: k a
kúkur	k_h u: k Y r
kúl	k_h u: l
kúla	k_h u: l a
kúld	k_h u l t
kúluhatt	k_h u: l Y h a h t
kúluvarpi	k_h u: l Y v a r_0 p I
kúm	k_h u: m
kúnni	k_h u n I
kúnninn	k_h u n I n
kúrda	k_h u r t a
kúrekahatt	k_h u: r E k a h a h t
kúrín	k_h u: r i n
kútnum	k_h u h t n Y m
kútterunum	k_h u h t E r O n Y m
kútur	k_h u: t Y r
kútveltist	k_h u: t v E l_0 t I s t
kýli	c_h i: l I
kýpur	c_h i: p Y r
kýr	c_h i: r
labb	l a p
labba	l a p a
labbandi	l a p a n t I
labbar	l a p a r
labbað	l a p a D
labbitúr	l a p I t_h u r
laden	l ei: t E n
lag	l a: G
laga	l a: G a
lagabreytinga	l a: G a p r ei t i N k a
lagabreytingu	l a: G a p r ei t i N k Y
lagadeild	l a: G a t ei l t
lagafrumvarp	l a: G a f r Y m v a r_0 p
lagalega	l a: G a l E G a
lagalegu	l a: G a l E G Y
laganema	l a: G a n E m a
laganna	l a: G a n a
lagaprófessor	l a: G a p_h r ou f E s O r
lagarfljót	l a: G a r f l j ou t
lagarfljóti	l a: G a r f l j ou t I
lagarfoss	l a: G a r_0 f O s
lagasetning	l a: G a s E h t n i N k
lagasetningu	l a: G a s E h t n i N k Y
lagast	l a: G a s t
lagaákvæði	l a: G a au k_h v ai D I
lagað	l a: G a D
lager	l a: G E r
lagfæra	l a x f ai r a
lagfæringar	l a x f ai r i N k a r
lagg	l a k
laggirnar	l a c I r t n a r
laggott	l a k O h t
lagi	l ai j I
laginn	l ai j I n
laginu	l ai j I n Y
lagið	l ai j I D
lagningu	l a k n i N k Y
lagt	l a x t
lagðar	l a G D a r
lagður	l a G D Y r
lak	l a: k
lakari	l a: k a r I
lakers	l ei: c_h E r_0 s
lakk	l a h k
lakki	l a h c I
lakkið	l a h c I D
lakkmyndir	l a h k m I n t I r
lakkrís	l a h k r i s
lalli	l a l I
lama	l a: m a
lamb	l a m p
lambahryggur	l a m p a r_0 I k Y r
lambakjöt	l a m p a c_h 9 t
lambalærissneiðar	l a m p a l ai r I s t n ei D a r
lambsull	l a m p s Y t l_0
lampa	l a m_0 p a
lampann	l a m_0 p a n
lampanum	l a m_0 p a n Y m
lampard	l a m_0 p a r t
lampinn	l a m_0 p I n
land	l a n t
landa	l a n t a
landafræði	l a n t a f r ai D I
landamæri	l a n t a m ai r I
landamærin	l a n t a m ai r I n
landamærum	l a n t a m ai r Y m
landað	l a n t a D
landbúnað	l a n t p u n a D
landbúnaðar	l a n t p u n a D a r
landbúnaðarnefndar	l a n t p u n a D a r n E m t a r
landbúnaðarráðherra	l a n t p u n a D a r au T h E r a
landbúnaðarráðuneytisins	l a n t p u n a D a r au D Y n ei t I s I n s
landbúnaðarráðuneytið	l a n t p u n a D a r au D Y n ei t I D
landbúnaðarstofnunin	l a n t p u n a D a r s t O p n Y n I n
landbúnaðartækni	l a n t p u n a D a r_0 t_h ai h k n I
landbúnaði	l a n t p u n a D I
landbúnaður	l a n t p u n a D Y r
landeigenda	l a n t ei G E n t a
landeigendur	l a n t ei G E n t Y r
landeyjahöfn	l a n t ei j a h 9 p n_0
landflótta	l a n t f l ou h t a
landfræðingur	l a n t f r ai D i N k Y r
landganginn	l a n t k au J c I n
landgræðslu	l a n t k r ai D s t l Y
landhelgisgæslan	l a n t h E l c I s c ai s t l a n
landi	l a n t I
landinu	l a n t I n Y
landið	l a n t I D
landlækni	l a n t l ai h k n I
landlæknir	l a n t l ai h k n I r
landlæknis	l a n t l ai h k n I s
landnýtingarverkefnið	l a n t n i t i N k a r v E r_0 k E p n I D
landotrum	l a n t O t r Y m
landráð	l a n t r au D
lands	l a n t s
landsamtaka	l a n t s a m t_h a k a
landsbanka	l a n t s p au N_0 k a
landsbankann	l a n t s p au N_0 k a n
landsbankans	l a n t s p au N_0 k a n s
landsbankanum	l a n t s p au N_0 k a n Y m
landsbanki	l a n t s p au J_0 c I
landsbjargar	l a n t s p j a r k a r
landsbjörg	l a n t s p j 9 r k
landsbréf	l a n t s p r j E f
landsbyggð	l a n t s p I G D
landsbyggðar	l a n t s p I G D a r
landsbyggðarinnar	l a n t s p I G D a r I n a r
landsbyggðin	l a n t s p I G D I n
landsbyggðina	l a n t s p I G D I n a
landsbyggðinni	l a n t s p I G D I n I
landsbókasafn	l a n t s p ou k a s a p n_0
landsbókasafni	l a n t s p ou k a s a p n I
landsfjórðungum	l a n t s f j ou r D u N k Y m
landsframleiðslu	l a n t s f r a m l ei D s t l Y
landsfund	l a n t s f Y n t
landsfundi	l a n t s f Y n t I
landshluta	l a n t s l_0 Y t a
landshlutum	l a n t s l_0 Y t Y m
landshöfðingjans	l a n t s h 9 v D i J c a n s
landsins	l a n t s I n s
landslag	l a n t s t l a G
landslagi	l a n t s t l ai j I
landslags	l a n t s t l a x s
landslagsheildir	l a n t s t l a x s h ei l t I r
landslagsmyndir	l a n t s t l a x s m I n t I r
landslagsmálverkið	l a n t s t l a x s m au l v E r_0 c I D
landsleiki	l a n t s t l ei c I
landslið	l a n t s t l I D
landsliða	l a n t s t l I D a
landsliði	l a n t s t l I D I
landsliðinu	l a n t s t l I D I n Y
landsliðið	l a n t s t l I D I D
landsliðsflokki	l a n t s t l I D s f l O h c I
landsliðshópinn	l a n t s t l I D s h ou p I n
landsliðshópnum	l a n t s t l I D s h ou h p n Y m
landsliðsins	l a n t s t l I D s I n s
landsliðsmanninn	l a n t s t l I D s m a n I n
landsliðsmaður	l a n t s t l I D s m a D Y r
landsliðsmaðurinn	l a n t s t l I D s m a D Y r I n
landsliðsmiðherjinn	l a n t s t l I D s m I T h E r j I n
landsliðsþjálfara	l a n t s t l I D s T j au l v a r a
landsliðsþjálfari	l a n t s t l I D s T j au l v a r I
landsmanna	l a n t s m a n a
landsmót	l a n t s m ou t
landsmótinu	l a n t s m ou t I n Y
landsmönnum	l a n t s m 9 n Y m
landsnet	l a n t s t n E t
landsnets	l a n t s t n E t s
landspítala	l a n t s p i t a l a
landspítalann	l a n t s p i t a l a n
landspítali	l a n t s p i t a l I
landspítalinn	l a n t s p i t a l I n
landssambands	l a n t s a m p a n t s
landssamtaka	l a n t s a m t_h a k a
landssamtök	l a n t s a m t_h 9 k
landssamtökin	l a n t s a m t_h 9 c I n
landssíminn	l a n t s i m I n
landsvala	l a n t s v a l a
landsvirkjunar	l a n t s v I r_0 c Y n a r
landsvæði	l a n t s v ai D I
landsvísu	l a n t s v i s Y
landsútvarp	l a n t s u t v a r_0 p
landverndar	l a n t v E r n t a r
lang	l au N k
langa	l au N k a
langadal	l au N k a t a l
langafa	l au N k a v a
langafi	l au N k a v I
langalgengasta	l au N k a l c ei N k a s t a
langalöngu	l au N k a l 9i N k Y
langamma	l au N k a m a
langan	l au N k a n
langanir	l au N k a n I r
langar	l au N k a r
langasjó	l au N k a s j ou
langavitleysa	l au N k a v I h t l ei s a
langbesti	l au N k p E s t I
langdregin	l au N t r ei j I n
langdregið	l au N t r ei j I D
langdrægu	l au N k t r ai G Y
langdvölum	l au N k t v 9 l Y m
langflest	l au N k f l E s t
langflestir	l au N k f l E s t I r
langflestum	l au N k f l E s t Y m
langhlaup	l au N k l_0 9i p
langhlauparar	l au N k l_0 9i p a r a r
langholti	l au N k h O l_0 t I
langholtskirkja	l au N k h O l_0 t s c_h I r_0 c a
langholtssafnaðar	l au N k h O l_0 t s a p n a D a r
langi	l au J c I
langir	l au J c I r
langisjór	l au J c I s j ou r
langisvíri	l au J c I s v i r I
langjökul	l au J c 9 k Y l
langkeyrslu	l au J c_h ei r_0 s t l Y
langleiðina	l au N k l ei D I n a
langloka	l au N k l O k a
langloku	l au N k l O k Y
langlífi	l au N k l i v I
langra	l au N k r a
langri	l au N k r I
langs	l au N s
langsamlega	l au N k s a m l E G a
langskemmtilegast	l au N k s c E m_0 t I l E G a s t
langskip	l au N k s c I p
langsokkur	l au N k s O h k Y r
langstærsta	l au N k s t ai r_0 s t a
langstærsti	l au N k s t ai r_0 s t I
langstökki	l au N k s t 9 h c I
langstökkinu	l au N k s t 9 h c I n Y
langsótt	l au N k s ou h t
langtum	l au N_0 t Y m
langtíma	l au N k t_h i m a
langtímaáhrif	l au N t_h i m a au r_0 I f
langtímum	l au N t_h i m Y m
langvarandi	l au N k v a r a n t I
langveginn	l au N k v ei j I n
langveikra	l au N k v ei k r a
langveikum	l au N k v ei k Y m
langvinn	l au N k v I n
langyngst	l au J c i N s t
langá	l au N k au
langömmu	l au N k 9 m Y
langömmubörnin	l au N k 9 m Y p 9 r t n I n
langþráð	l au N k T r au D
lanka	l a N_0 k a
lapplander	l a h p l a n t E r
lara	l a: r a
lars	l a r_0 s
larsson	l a r_0 s O n
last	l a s t
latneskt	l a h t n E s t
laufengi	l 9i: v ei J c I
laufferjum	l 9i f E r j Y m
laufskálinn	l 9i f s k au l I n
laufási	l 9i: v au s I
laufásveg	l 9i: v au s v E G
laufásvegi	l 9i: v au s v ei j I
laufþekjuna	l 9i f T E c Y n a
laugar	l 9i: G a r
laugardag	l 9i: G a r_0 t a G
laugardaginn	l 9i: G a r_0 t ai j I n
laugardags	l 9i: G a r t a x s
laugardagsgangan	l 9i: G a r t a x s k au N k a n
laugardagskvöld	l 9i: G a r t a x s k_h v 9 l t
laugardagskvöldið	l 9i: G a r t a x s k_h v 9 l t I D
laugardagslíf	l 9i: G a r t a x s t l i v
laugardagsmorgni	l 9i: G a r t a x s m O r t n I
laugardagsmorgnum	l 9i: G a r t a x s m O r t n Y m
laugardagsmorgun	l 9i: G a r t a x s m O r k Y n
laugardagurinn	l 9i: G a r t a G Y r I n
laugardal	l 9i: G a r t a l
laugardalnum	l 9i: G a r t a l n Y m
laugardalshöll	l 9i: G a r t a l s h 9 t l_0
laugardalslaug	l 9i: G a r_0 t a l s t l 9i G
laugardalslaugin	l 9i: G a r t a l s t l 9i j I n
laugardalsvelli	l 9i: G a r_0 t a l s v E t l I
laugardalsvellinum	l 9i: G a r_0 t a l s v E t l I n Y m
laugardegi	l 9i: G a r_0 t ei j I
laugardeginum	l 9i: G a r t ei j I n Y m
laugardögum	l 9i: G a r_0 t 9 G Y m
laugarnes	l 9i: G a r n E s
laugarnesskóla	l 9i: G a r n E s k ou l a
laugarnestanga	l 9i: G a r n E s t_h au N k a
laugarnesvegi	l 9i: G a r n E s v ei j I
laugarvatn	l 9i: G a r v a t n_0
laugarvatni	l 9i: G a r v a h t n I
laugarásvegi	l 9i: G a r au s v ei j I
laugavegi	l 9i: G a v ei j I
laugaveginum	l 9i: G a v ei j I n Y m
laugavegur	l 9i: G a v E G Y r
laugin	l 9i: j I n
laugina	l 9i j I n a
lauginni	l 9i j I n I
lauk	l 9i: k
laukrétt	l 9i: k r j E h t
laukur	l 9i: k Y r
launafólk	l 9i: n a f ou l_0 k
launafólks	l 9i: n a f ou l_0 k s
launahækkana	l 9i: n a h ai h k a n a
launahækkanir	l 9i: n a h ai h k a n I r
launakostnaður	l 9i: n a k_h O s t n a D Y r
launanefndar	l 9i: n a n E m t a r
launatapið	l 9i: n a t_h a p I D
launkofa	l 9i N k_h O v a
launþega	l 9i n T E G a
lausa	l 9i: s a
lausir	l 9i: s I r
lauslegt	l 9i: s t l E x t
lausn	l 9i s t n_0
lausna	l 9i s t n a
lausnar	l 9i s t n a r
lausnin	l 9i s t n I n
lausnina	l 9i s t n I n a
lausnum	l 9i s t n Y m
lausu	l 9i: s Y
lausum	l 9i: s Y m
laut	l 9i: t
lax	l a k s
laxa	l a k s a
laxastofna	l a k s a s t O p n a
laxdal	l a k s t a l
laxi	l a k s I
laxinn	l a k s I n
laxá	l a k s au
laða	l a: D a
lebron	l E p r O n
lee	l i:
leeds	l i t s
legg	l E k
leggangaopið	l E G k au N k a O p I D
leggi	l E c I
leggina	l E c I n a
legginn	l E c I n
leggist	l E c I s t
leggjast	l E c a s t
leggjum	l E c Y m
leggjunum	l E c O n Y m
leggst	l E k s t
leggur	l E k Y r
leggurðu	l E k Y r D Y
leggðu	l E G D Y
leggöngin	l E G 9i J c I n
leginu	l ei j I n Y
leginum	l ei j I n Y m
legið	l ei j I D
legoland	l E: k ou l a n t
legu	l E: G Y
legði	l E G D I
leiddi	l ei t I
leiddist	l ei t I s t
leiddu	l ei t Y
leiddumst	l ei t Y m s t
leiddur	l ei t Y r
leifa	l ei: v a
leifs	l ei f s
leifsson	l ei f s O n
leifssonar	l ei f s O n a r
leifsstöð	l ei f s t 9 D
leifssyni	l ei f s I n I
leiftrandi	l ei f t r a n t I
leiftri	l ei f t r I
leiftruðu	l ei f t r Y D Y
leiftursókn	l ei f t Y r_0 s ou h k n
leigjendasamtökin	l ei j E n t a s a m t_h 9 c I n
leigt	l ei x t
leigubifreiðarstjóra	l ei: G Y p I v r ei D a r s t j ou r a
leigubílinn	l ei: G Y p i l I n
leiguflugi	l ei: G Y f l Yi j I
leiguhúsnæði	l ei: G Y h u s t n ai D I
leigumorðingja	l ei: G Y m O r D i J c a
leigðu	l ei G D Y
leigðum	l ei G D Y m
leik	l ei: k
leikanna	l ei: k a n a
leikarinn	l ei: k a r I n
leikbann	l ei: k p a n
leikfimi	l ei k f I m I
leikfélag	l ei: k f j E l a G
leikfélagið	l ei: k f j E l ai j I D
leikföngum	l ei: k f 9i N k Y m
leikhlé	l ei k l_0 j E
leikhléi	l ei: k l_0 j E I
leikhús	l ei: k h u s
